"order_date","product_name","category","quantity","price","total_amount"
"2025-12-16 04:03:02.69975","Americano","Beverages",1,"80.96","80.96"
"2025-11-26 22:02:15.267833","Apple Turnover","Pastries",1,"154.54","154.54"
"2025-11-26 22:01:34.051564","Almonds Croissant","Pastries",1,"179.86","179.86"
"2025-11-26 14:31:51.573254","Almonds Croissant","Pastries",1,"179.86","179.86"
"2025-11-26 11:47:37.497138","Americano","Beverages",1,"80.96","80.96"
"2025-11-26 11:47:37.48671","Almonds Croissant","Pastries",1,"179.86","179.86"
"2025-11-26 10:41:44.590319","Almonds Croissant","Pastries",1,"179.86","179.86"
"2025-11-26 01:20:03.654692","Almond","Pastries",1,"5.59","5.59"
"2025-11-26 01:03:17.831524","Almonds","Pastries",1,"5.59","5.59"
"2025-11-25 16:50:42.095031","Almonds","Pastries",1,"5.59","5.59"
"2025-11-25 12:06:41.211597","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-25 11:54:44.55963","Almond Croissant","Pastries",2,"8.42","16.84"
"2025-11-25 11:54:18.077793","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-25 11:53:55.480319","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-25 11:53:43.009297","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-25 11:06:09.130337","Almonds","Pastries",1,"5.59","5.59"
"2025-11-25 11:05:21.796339","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-25 08:54:28.52718","Almonds","Pastries",1,"5.59","5.59"
"2025-11-25 03:40:45.528145","Almonds","Pastries",1,"5.59","5.59"
"2025-11-25 03:40:45.392503","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-25 03:24:10.875913","Almond Croissant","Pastries",1,"8.42","8.42"
"2025-11-24 23:49:31.060219","Almonds","Pastries",1,"5.59","5.59"
"2025-11-24 23:41:04.48265","Apple Turnover","Pastries",1,"154.54","154.54"
"2025-11-24 18:25:12","Espresso","Pastries",5,"195.76","978.80"
"2025-11-24 14:26:17","Baguette","Pastries",1,"133.77","133.77"
"2025-11-24 14:17:00","Red Velvet Cake","Pastries",2,"187.25","374.50"
"2025-11-24 14:02:43","Blueberry Muffin","Pastries",5,"185.15","925.75"
"2025-11-24 13:33:12","Iced Coffee","Beverages",2,"107.80","215.60"
"2025-11-24 07:14:47","Cappuccino","Pastries",1,"76.25","76.25"
"2025-11-24 05:24:41","Hot Chocolate","Pastries",2,"131.53","263.06"
"2025-11-24 03:04:09","Glazed Donut","Pastries",5,"148.75","743.75"
"2025-11-24 00:51:07","Chai Latte","Pastries",1,"100.50","100.50"
"2025-11-23 23:45:18","Americano","Pastries",4,"80.96","323.84"
"2025-11-23 21:56:55","Glazed Donut","Pastries",3,"148.75","446.25"
"2025-11-23 19:17:42","Mocha","Pastries",5,"61.74","308.70"
"2025-11-23 19:14:23","Blueberry Muffin","Pastries",5,"185.15","925.75"
"2025-11-23 13:22:46","Flat White","Pastries",3,"113.21","339.63"
"2025-11-23 13:17:44","Chai Latte","Pastries",5,"100.50","502.50"
"2025-11-23 10:18:22","Flat White","Pastries",1,"113.21","113.21"
"2025-11-23 10:15:20","Almonds","Pastries",3,"5.59","16.77"
"2025-11-23 08:43:32","Baguette","Pastries",3,"133.77","401.31"
"2025-11-23 08:14:15","Americano","Pastries",2,"80.96","161.92"
"2025-11-23 07:12:35","Iced Mocha","Pastries",3,"144.00","432.00"
"2025-11-23 05:45:15","Iced Mocha","Pastries",3,"144.00","432.00"
"2025-11-23 02:47:47","Eclair","Pastries",2,"146.12","292.24"
"2025-11-22 23:59:47","Chai Latte","Pastries",3,"100.50","301.50"
"2025-11-22 22:24:46","Red Velvet Cake","Pastries",1,"187.25","187.25"
"2025-11-22 00:53:36","Chocolate Chip Muffin","Pastries",5,"103.79","518.95"
"2025-11-21 23:22:39","Hot Chocolate","Pastries",5,"131.53","657.65"
"2025-11-21 16:48:05","Red Velvet Cake","Pastries",5,"187.25","936.25"
"2025-11-21 12:38:05","Apple Turnover","Pastries",4,"154.54","618.16"
"2025-11-21 10:09:41","Almonds","Pastries",3,"5.59","16.77"
"2025-11-21 05:55:16","Latte","Pastries",4,"108.74","434.96"
"2025-11-21 05:11:29","Flat White","Pastries",2,"113.21","226.42"
"2025-11-21 04:51:18","Espresso","Pastries",3,"195.76","587.28"
"2025-11-21 00:00:57","Red Velvet Cake","Pastries",3,"187.25","561.75"
"2025-11-20 20:36:00","Chocolate Chip Muffin","Pastries",4,"103.79","415.16"
"2025-11-20 17:26:52","Mocha","Pastries",2,"61.74","123.48"
"2025-11-20 11:09:06","Iced Coffee","Beverages",4,"107.80","431.20"
"2025-11-20 10:40:20","Flat White","Pastries",5,"113.21","566.05"
"2025-11-20 10:07:11","Mocha","Pastries",3,"61.74","185.22"
"2025-11-20 03:10:37","Iced Coffee","Beverages",1,"107.80","107.80"
"2025-11-20 02:08:50","Chai Latte","Pastries",4,"100.50","402.00"
"2025-11-19 22:36:06","Almond Croissant","Pastries",1,"8.42","8.42"
